"Certifier Name","Operation Name","Physical Address: Street 1","Physical Address: Street 2","Physical Address: City","Physical Address: State/Province","Physical Address: ZIP/ Postal Code","Broker","Community Supported Agriculture (CSA)","Co-Packer","Dairy","Distributor","Marketer/Trader","Restaurant","Retail Food Establishment","Poultry","Private Labeler","Slaughterhouse","Storage","Grower Group","Data as of Date","Organic Certificate","addresses","lon","lat"
"International Certification Services, Inc","Davis, Rackley","133 Poe Road",NA,"Siler City","North Carolina","27344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"133 Poe Road, Siler City, North Carolina, 27344",-79.5097119,35.777271
"Pennsylvania Certified Organic","Doug Mcneill","1199 Poe Road",NA,"Siler City","North Carolina","27344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"1199 Poe Road, Siler City, North Carolina, 27344",-79.5029688,35.7841572
"International Certification Services, Inc","Green, Cassius Jr dba Cassius Green Farms","1338 Silk Hope Rd",NA,"Siler City","North Carolina","27344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"1338 Silk Hope Rd, Siler City, North Carolina, 27344",-79.403618,35.754115
"International Certification Services, Inc","Hackney, Jason dba Heritage Poultry","2357 Bonlee School Road",NA,"Bear Creek","North Carolina","27207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"2357 Bonlee School Road, Bear Creek, North Carolina, 27207",-79.4071686,35.6130046
"Pennsylvania Certified Organic","Iris Terry Farm","7400 Siler City Snow Camp Rd",NA,"Siler City","North Carolina","27344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"7400 Siler City Snow Camp Rd, Siler City, North Carolina, 27344",-79.4311985,35.8174509
"Pennsylvania Certified Organic","J.M. Johnson Farm","729 Bowers Store Road",NA,"Siler City","North Carolina","27344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"729 Bowers Store Road, Siler City, North Carolina, 27344",-79.34259,35.744115
"International Certification Services, Inc","Jeffrey Norvang dba Norvang FArm","397 Sunset Hills",NA,"Siler City","North Carolina","27344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"397 Sunset Hills, Siler City, North Carolina, 27344",-79.4789933,35.7194221
"International Certification Services, Inc","JM Johsnon Farm","729 Bowers Store Road",NA,"Siler City","North Carolina","27344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"729 Bowers Store Road, Siler City, North Carolina, 27344",-79.34259,35.744115
"Pennsylvania Certified Organic","Lloyd Campbell","1495 Will Brown Rd",NA,"Siler City","North Carolina","27344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"1495 Will Brown Rd, Siler City, North Carolina, 27344",-79.3887265,35.8003581
"International Certification Services, Inc","McNeil, Doug","1199 Poe Road",NA,"Siler City","North Carolina","27344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"1199 Poe Road, Siler City, North Carolina, 27344",-79.5029688,35.7841572
"Pennsylvania Certified Organic","Nog's Farm","461 Sunset Hill Rd",NA,"Siler City","North Carolina","27344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-01,NA,"461 Sunset Hill Rd, Siler City, North Carolina, 27344",-79.4789724,35.7191906
"Pennsylvania Certified Organic","Norvang Farm","459 Sunset Hills Rd",NA,"Siler City","North Carolina","27344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-01,NA,"459 Sunset Hills Rd, Siler City, North Carolina, 27344",-79.478973,35.7191979
"International Certification Services, Inc","Norvang, Jeffrey dba Nog's Farm","461 Sunset Hill Road",NA,"Siler City","North Carolina","27344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"461 Sunset Hill Road, Siler City, North Carolina, 27344",-79.4789724,35.7191906
"International Certification Services, Inc","Phillps, Vicki","123 Walter Wilson Rd.",NA,"Bear Creek","North Carolina","27207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"123 Walter Wilson Rd., Bear Creek, North Carolina, 27207",-79.4811448,35.5578916
"International Certification Services, Inc","Pike, Danny","953 Silk Hope LIberty Road",NA,"Siler City","North Carolina","27344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"953 Silk Hope LIberty Road, Siler City, North Carolina, 27344",-79.3859535,35.7868867
"Pennsylvania Certified Organic","Rackley Davis","131 Poe Rd",NA,"Siler City","North Carolina","27344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"131 Poe Rd, Siler City, North Carolina, 27344",-79.5042541,35.7769908
"International Certification Services, Inc","SNK Poultry","457 Petty Road",NA,"Siler City","North Carolina","27344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"457 Petty Road, Siler City, North Carolina, 27344",-79.445922,35.650668
"Pennsylvania Certified Organic","SNK Poultry","457 Petty Rd",NA,"Siler City","North Carolina","27344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"457 Petty Rd, Siler City, North Carolina, 27344",-79.445922,35.650668
"International Certification Services, Inc","Terry, Iris dba Iris Terry Farm","7400 Siler City Snow Camp Road",NA,"Siler City","North Carolina","27344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"7400 Siler City Snow Camp Road, Siler City, North Carolina, 27344",-79.4311985,35.8174509
"Pennsylvania Certified Organic","Wilson's 902 Farm","123 Walter Wilson Rd",NA,"Bear Creek","North Carolina","27207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"123 Walter Wilson Rd, Bear Creek, North Carolina, 27207",-79.4811448,35.5578916
"International Certification Services, Inc","Brown, Jimmy","8659 Crutchfield Road",NA,"Snow Camp","North Carolina","27349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"8659 Crutchfield Road, Snow Camp, North Carolina, 27349",-79.4024048,35.8518531
"Pennsylvania Certified Organic","D.R. Smith","1957 Cleve Road",NA,"Snow Camp","North Carolina","27349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"1957 Cleve Road, Snow Camp, North Carolina, 27349",-79.470509,35.9109079
"Pennsylvania Certified Organic","Eric Mcpherson","7335 Beale Rd",NA,"Snow Camp","North Carolina","27349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"7335 Beale Rd, Snow Camp, North Carolina, 27349",-79.4592222,35.9197449
"International Certification Services, Inc","Isley, Tony","1433G Greensboro Chapel Hill Rd",NA,"Snow Camp","North Carolina","27349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"1433G Greensboro Chapel Hill Rd, Snow Camp, North Carolina, 27349",-79.4652248,35.9009586
"Pennsylvania Certified Organic","Jimmy Brown","8655 Crutchfield Rd",NA,"Snow Camp","North Carolina","27349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"8655 Crutchfield Rd, Snow Camp, North Carolina, 27349",-79.4024048,35.8518531
"Pennsylvania Certified Organic","Mac Farms","2429 Mr. Vernon Hickory Mountain Rd",NA,"Siler City","North Carolina","27344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"2429 Mr. Vernon Hickory Mountain Rd, Siler City, North Carolina, 27344",-79.358839,35.7639179
"International Certification Services, Inc","McPherson, Chris dba Mac Farm","2429 Mt Vernon Hickory Mountain Road",NA,"Siler City","North Carolina","27344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"2429 Mt Vernon Hickory Mountain Road, Siler City, North Carolina, 27344",-79.358839,35.7639179
"International Certification Services, Inc","McPherson, Eric","7335 Beale Road",NA,"Snow Camp","North Carolina","27349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"7335 Beale Road, Snow Camp, North Carolina, 27349",-79.4592222,35.9197449
"International Certification Services, Inc","Smith, David Randall dba D.R. Smith","1957 Cleve Road",NA,"Snow Camp","North Carolina","27349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"1957 Cleve Road, Snow Camp, North Carolina, 27349",-79.470509,35.9109079
"Pennsylvania Certified Organic","Tony Isley","1433G W Greensboro Chapel Hill Rd",NA,"Snow Camp","North Carolina","27349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"1433G W Greensboro Chapel Hill Rd, Snow Camp, North Carolina, 27349",-79.4652248,35.9009586
"Pennsylvania Certified Organic","Flint Hill Farm","2648 Jess Smith Rd",NA,"Sophia","North Carolina","27350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"2648 Jess Smith Rd, Sophia, North Carolina, 27350",-79.9257334,35.7971922
"International Certification Services, Inc","Frye, Amy Lou dba Flint Hill Farm","2864 Jess Smith Road",NA,"Sophia","North Carolina","27350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-08-16,NA,"2864 Jess Smith Road, Sophia, North Carolina, 27350",-79.9294108,35.797673
"Pennsylvania Certified Organic","Barbara Wall","2930 Byrd House Rd (houses #1,2,3,4); 3044 Wall Rd (houses #5,6,7)",NA,"Staley","North Carolina","27355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"2930 Byrd House Rd (houses #1,2,3,4); 3044 Wall Rd (houses #5,6,7), Staley, North Carolina, 27355",NA,NA
"Baystate Organic Certifiers","Channah Farms - Janie and Jackie Smith","3208 Pike Farm Road",NA,"Staley","North Carolina","27355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-16,NA,"3208 Pike Farm Road, Staley, North Carolina, 27355",-79.546537,35.821808
"Pennsylvania Certified Organic","Kevin Lineberry","3063 Brower Meadow Rd",NA,"Staley","North Carolina","27355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"3063 Brower Meadow Rd, Staley, North Carolina, 27355",-79.634319,35.8273463
"International Certification Services, Inc","Lineberry, Kevin","3063 Brower Meadow Road",NA,"Staley","North Carolina","27355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"3063 Brower Meadow Road, Staley, North Carolina, 27355",-79.634319,35.8273463
"International Certification Services, Inc","Tim's Farm","2386 Shady Grove Ch Rd",NA,"Staley","North Carolina","27355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"2386 Shady Grove Ch Rd, Staley, North Carolina, 27355",-79.5734039,35.7994116
"Pennsylvania Certified Organic","Tim's Farm","2426 Shady Grove Church Rd",NA,"Staley","North Carolina","27355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"2426 Shady Grove Church Rd, Staley, North Carolina, 27355",-79.5777933,35.7995418
"International Certification Services, Inc","Wall, Barbara","2930 Byrd House Rd",NA,"Staley","North Carolina","27355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"2930 Byrd House Rd, Staley, North Carolina, 27355",-79.596555,35.83091
"International Certification Services, Inc","Dunn, Tim","226 Dunn Ave",NA,"Star","North Carolina","27356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"226 Dunn Ave, Star, North Carolina, 27356",-79.7551344,35.3995009
"Pennsylvania Certified Organic","Tim Dunn","226 Dunn Avenue",NA,"Star","North Carolina","27356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"226 Dunn Avenue, Star, North Carolina, 27356",-79.7551344,35.3995009
"International Certification Services, Inc","Beck, Susan","206 Craven Drive",NA,"Thomasville","North Carolina","27360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"206 Craven Drive, Thomasville, North Carolina, 27360",-80.118145,35.895406
"Pennsylvania Certified Organic","Susan Beck Poultry","206 Craven Dr",NA,"Thomasville","North Carolina","27360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"206 Craven Dr, Thomasville, North Carolina, 27360",-80.118145,35.895406
"Quality Assurance International","Wright Foods Group, LLC Dba Wright Foods","1 Wright Way",NA,"Troy","North Carolina","27371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-23,NA,"1 Wright Way, Troy, North Carolina, 27371",-79.9302388,35.3346978
"International Certification Services, Inc","Pinyatello, Joshua","9163 NC 62 S",NA,"Yanceyville","North Carolina","27379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-05,NA,"9163 NC 62 S, Yanceyville, North Carolina, 27379",-79.3657615,36.2863747
"International Certification Services, Inc","Walker, Jamey","5000 US HWY 158W",NA,"Yanceyville","North Carolina","27379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-03-20,NA,"5000 US HWY 158W, Yanceyville, North Carolina, 27379",-79.3884914,36.3976267
"International Certification Services, Inc","NC A & T State University Farm","3136 McConnell Rd",NA,"Greensboro","North Carolina","27405",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-23,NA,"3136 McConnell Rd, Greensboro, North Carolina, 27405",-79.7361269,36.0618761
"Quality Assurance International","Twinings North America, Inc.","2812 Twining Road",NA,"Greensboro","North Carolina","27406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-23,NA,"2812 Twining Road, Greensboro, North Carolina, 27406",NA,NA
"Baystate Organic Certifiers","KLB Enterprises Inc. Dba Carolina Fine Snacks","209 Citation Court",NA,"Greensboro","North Carolina","27409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-13,NA,"209 Citation Court, Greensboro, North Carolina, 27409",-79.9352723,36.0775188
"International Certification Services, Inc","NCSU - CEFS","201 Stevens Mill Road",NA,"Goldsboro","North Carolina","27530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-18,NA,"201 Stevens Mill Road, Goldsboro, North Carolina, 27530",-78.0288214,35.3907845
"Pennsylvania Certified Organic","Lee Owen","2320 Massengill Pond Rd",NA,"Angier","North Carolina","27501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"2320 Massengill Pond Rd, Angier, North Carolina, 27501",-78.652112,35.4987179
"International Certification Services, Inc","Owen, Lee","2320 Massengil Pond Road",NA,"Angier","North Carolina","27501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"2320 Massengil Pond Road, Angier, North Carolina, 27501",-78.652112,35.4987179
"International Certification Services, Inc","B & B Produce, Inc","2778 NC-50",NA,"Benson","North Carolina","27504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-27,NA,"2778 NC-50, Benson, North Carolina, 27504",-78.512173,35.3641661
"International Certification Services, Inc","Clifton, Tony L","510 Parrish Rd.",NA,"Benson","North Carolina","27504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"510 Parrish Rd., Benson, North Carolina, 27504",NA,NA
"Pennsylvania Certified Organic","Tony Clifton Farm, Inc.","510 Parrish Rd",NA,"Benson","North Carolina","27504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"510 Parrish Rd, Benson, North Carolina, 27504",-78.5557527,35.3849684
"Pennsylvania Certified Organic","Holder Farm","2417 Holly Springs Church Rd",NA,"Broadway","North Carolina","27505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"2417 Holly Springs Church Rd, Broadway, North Carolina, 27505",-78.978059,35.443428
"International Certification Services, Inc","Holder, Jermey","2417 Holly Spring Church Road",NA,"Broadway","North Carolina","27505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"2417 Holly Spring Church Road, Broadway, North Carolina, 27505",-78.978059,35.443428
"Pennsylvania Certified Organic","Laverne Wright Farm","2642 Holly Springs Church Rd",NA,"Broadway","North Carolina","27505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"2642 Holly Springs Church Rd, Broadway, North Carolina, 27505",-78.973235,35.441661
"International Certification Services, Inc","Patterson, Timothy dba T & T Farm","1469 Patterson Road",NA,"Broadway","North Carolina","27505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"1469 Patterson Road, Broadway, North Carolina, 27505",-78.988614,35.4469027
"International Certification Services, Inc","Robert, Ken","383 Poultry Lane",NA,"Broadway","North Carolina","27505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"383 Poultry Lane, Broadway, North Carolina, 27505",-78.976283,35.399166
"International Certification Services, Inc","Roberts, Ken dba Beagle Run","383 Poultry Lane",NA,"Broadway","North Carolina","27505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"383 Poultry Lane, Broadway, North Carolina, 27505",-78.976283,35.399166
"International Certification Services, Inc","Rye's Greenhouses, LLC","10712 US 421N",NA,"Broadway","North Carolina","27505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-19,NA,"10712 US 421N, Broadway, North Carolina, 27505",-78.9999958,35.4340406
"Pennsylvania Certified Organic","T&T Farm","1469 Patterson Road",NA,"Broadway","North Carolina","27505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"1469 Patterson Road, Broadway, North Carolina, 27505",-78.988614,35.4469027
"International Certification Services, Inc","Williamson Organics","3627 Harry Davis",NA,"Bullock","North Carolina","27507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-06,NA,"3627 Harry Davis, Bullock, North Carolina, 27507",-78.5698335,36.5201175
"International Certification Services, Inc","Mitchell, Kevin","Mallie Pearce Rd Hwy 98",NA,"Bunn","North Carolina","27508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-20,NA,"Mallie Pearce Rd Hwy 98, Bunn, North Carolina, 27508",-78.2557719,35.9038569
"International Certification Services, Inc","Mitchell, Steve","5079 NC 39",NA,"Bunn","North Carolina","27508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-06,NA,"5079 NC 39, Bunn, North Carolina, 27508",-78.2571812,35.9661206
"International Certification Services, Inc","Paul R Harris LLC","317 Dennis Harris Road",NA,"Macon","North Carolina","27511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-26,NA,"317 Dennis Harris Road, Macon, North Carolina, 27511",-78.0250412,36.4180302
"Pennsylvania Certified Organic","Top Of The Hill Distillery","505-C West Franklin Street",NA,"Chapel Hill","North Carolina","27516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"505-C West Franklin Street, Chapel Hill, North Carolina, 27516",-79.0635787,35.9094904
"International Certification Services, Inc","B.W. Pope Farm Inc dba Black River Farms","495 Johnson Rd",NA,"Coats","North Carolina","27521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"495 Johnson Rd, Coats, North Carolina, 27521",-78.6366463,35.4332411
"International Certification Services, Inc","B.W. Pope Farm Inc.","495 Johnson Rd",NA,"Coats","North Carolina","27521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-13,NA,"495 Johnson Rd, Coats, North Carolina, 27521",-78.6366463,35.4332411
"International Certification Services, Inc","Back Forty Farm","945 Ebenezer Church Rd",NA,"Coats","North Carolina","27521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"945 Ebenezer Church Rd, Coats, North Carolina, 27521",-78.650985,35.4289038
"Pennsylvania Certified Organic","Back Forty Farm (BW Pope, Inc.)","945 Ebenezer Church Rd",NA,"Coats","North Carolina","27521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"945 Ebenezer Church Rd, Coats, North Carolina, 27521",-78.650985,35.4289038
"Pennsylvania Certified Organic","BW Pope, Inc.","945 Ebenezer Church Rd",NA,"Coats","North Carolina","27521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"945 Ebenezer Church Rd, Coats, North Carolina, 27521",-78.650985,35.4289038
"International Certification Services, Inc","Ferrell, Joseph","419A Dixon Road",NA,"Coats","North Carolina","27521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"419A Dixon Road, Coats, North Carolina, 27521",-78.6323644,35.4153572
"Pennsylvania Certified Organic","Joseph Ferrell","419A Dixon Rd",NA,"Coats","North Carolina","27521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"419A Dixon Rd, Coats, North Carolina, 27521",-78.6323644,35.4153572
"International Certification Services, Inc","Terry Johnson","45 Bulet Rd",NA,"Coats","North Carolina","27521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-08-16,NA,"45 Bulet Rd, Coats, North Carolina, 27521",NA,NA
"Pennsylvania Certified Organic","Terry Johnson Farm","45 Bullet Road",NA,"Coats","North Carolina","27521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"45 Bullet Road, Coats, North Carolina, 27521",-78.6426503,35.4443975
"International Certification Services, Inc","Hockaday, JM","2719 Horseshoe Road",NA,"Creedmoor","North Carolina","27522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-15,NA,"2719 Horseshoe Road, Creedmoor, North Carolina, 27522",-78.6296113,36.08598
"International Certification Services, Inc","Hallman Farm, Inc.","993 Rawls Club Road",NA,"Fuquay-Varina","North Carolina","27526",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"993 Rawls Club Road, Fuquay-Varina, North Carolina, 27526",-78.7985966,35.5376724
"International Certification Services, Inc","Johnson Family Farm","49 Revels Road",NA,"Fuquay-Varina","North Carolina","27526",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"49 Revels Road, Fuquay-Varina, North Carolina, 27526",-78.86549,35.51918
"Pennsylvania Certified Organic","Johnson Family Farm","49 Revels Rd",NA,"Fuquay-Varina","North Carolina","27526",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"49 Revels Rd, Fuquay-Varina, North Carolina, 27526",-78.86549,35.51918
"International Certification Services, Inc","Parrish, Charles","496 Kipling Road",NA,"Fuquay-Varina","North Carolina","27526",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"496 Kipling Road, Fuquay-Varina, North Carolina, 27526",-78.8293498,35.4819138
"International Certification Services, Inc","Barrow Farms Inc","13347 Buffalo Road",NA,"Clayton","North Carolina","27527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-15,NA,"13347 Buffalo Road, Clayton, North Carolina, 27527",-78.371577,35.6848
"Pennsylvania Certified Organic","Butterball, LLC","938 Millers Chapel Road",NA,"Goldsboro","North Carolina","27534",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"938 Millers Chapel Road, Goldsboro, North Carolina, 27534",-77.8891123,35.3648469
"CCOF Certification Services, LLC","The Crews Farm Hamilton St. LLC Dba Crews Farm","410 Hamilton Street",NA,"Henderson","North Carolina","27536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"410 Hamilton Street, Henderson, North Carolina, 27536",-78.400267,36.333664
"International Certification Services, Inc","Bruce Crews JR Organics","1320 Crews Lane",NA,"Henderson","North Carolina","27537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-21,NA,"1320 Crews Lane, Henderson, North Carolina, 27537",-78.4985508,36.337749
"Baystate Organic Certifiers","David Smith","1875 Tollie Weldon Rd.",NA,"Henderson","North Carolina","27537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-19,NA,"1875 Tollie Weldon Rd., Henderson, North Carolina, 27537",-78.3152445,36.2528191
"International Certification Services, Inc","A And B Farms","5968 Gordonton Road",NA,"Hurdle Mills","North Carolina","27541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-05,NA,"5968 Gordonton Road, Hurdle Mills, North Carolina, 27541",-79.1318927,36.3090291
"International Certification Services, Inc","B Organics, LLC","8700 Burlington Road",NA,"Hurdle Mills","North Carolina","27541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-22,NA,"8700 Burlington Road, Hurdle Mills, North Carolina, 27541",-79.106472,36.3011679
"International Certification Services, Inc","Farms of Bushy Fork Inc.","481 Robert Whitfield Road",NA,"Hurdle Mills","North Carolina","27541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-20,NA,"481 Robert Whitfield Road, Hurdle Mills, North Carolina, 27541",-79.0840658,36.300056
"Pennsylvania Certified Organic","Five Acre Farm","1028 Lee Bradsher Road",NA,"Hurdle Mills","North Carolina","27541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-12-29,NA,"1028 Lee Bradsher Road, Hurdle Mills, North Carolina, 27541",-79.0818715,36.2621931
"International Certification Services, Inc","Pine Knot Farms","8906 Hester Road",NA,"Hurdle Mills","North Carolina","27541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-03,NA,"8906 Hester Road, Hurdle Mills, North Carolina, 27541",NA,NA
"Baystate Organic Certifiers","Rodney Garrett","433 Clay Long Road",NA,"Hurdle Mills","North Carolina","27541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-22,NA,"433 Clay Long Road, Hurdle Mills, North Carolina, 27541",-79.0217596,36.301911
"International Certification Services, Inc","John Weaver Farms, LLC","1540 Bluegrass Rd",NA,"Selma","North Carolina","27576",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-16,NA,"1540 Bluegrass Rd, Selma, North Carolina, 27576",-78.2277443,35.6424175
"Pennsylvania Certified Organic","Charles Parrish","520 Kipling Road",NA,"Fuquay-Varina","North Carolina","27543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"520 Kipling Road, Fuquay-Varina, North Carolina, 27543",-78.8344511,35.4853453
